Doctor_name,Specialization,Experience,City_name,Area,Hospital_name,Consultation_fee,Recommendation
Dr. Sarvesh R Jaiswal,Dentist,14,Pune,"Baner,",Tooth Galaxy Dental Care and Implant Centre,300,98% 
Dr. Anushree S. Jaiswal,Dentist,11,Pune,"Baner,",Tooth Galaxy Dental Care and Implant Centre,300,99% 
Dr. Dhaval Oswal,Dentist,14,Pune,"Bibvewadi,",Oswals Dental and Orthodontic Care,100,96% 
Dr. Mrunal Godse,Dentist,14,Pune,"Kothrud,",Health Point Polyclinic,300,96% 
Dr. Ashwini Dalavi,Dentist,18,Pune,"Sasanenagar,",Om Dental Clinc,300,98% 
Dr. Sharath Shetty,Dentist,18,Pune,"Pimpri-Chinchwad,",Dr Shetty's Dental Speciality Centre,100,93% 
Dr. Rakesh R. Prasad,Dentist,28,Pune,"Pimpri-Chinchwad,",Dr.R.R.Prasad Dental Clinic,500,96% 
Dr. Ratnika Agarwal,Dentist,10,Pune,"Kharadi,",Dr. Ratnika's - Smile Up Dental Clinic & Implant Center,300,98% 
Dr. Pragati Mirikar,Dentist,15,Pune,"Wakad,",Dental Care & Endodontic Center,200,99% 
Dr. Sandeep Bhirud,Dentist,33,Pune,"Pimpri-Chinchwad,",Dr. Bhirud's Sweet Smile Dental Clinic,500,98% 
Dr. Ramit Kamate,Gynecologist/Obstetrician,15,Pune,"Balewadi,",Practo Care Surgeries,900,89% 
Dr. Pratibha Chavan,Gynecologist/Obstetrician,18,Pune,"Baner,",Galaxy Hospital,600,96% 
Dr. Sunita Kale,Gynecologist/Obstetrician,31,Pune,"Kothrud,",Shree Maternity Nursing Home,700,98% 
Dr. Jagrati Laad,Gynecologist/Obstetrician,18,Pune,"Wakad,",Wombs Fertility and Reproductive Health Clinic,600,93% 
Dr. Mugdha Joshi,Gynecologist/Obstetrician,17,Pune,"Wakad,",Shri Waman Ganesh Clinic,500,99% 
Dr. Lavina Batra,Gynecologist/Obstetrician,17,Pune,"Viman Nagar,",Life Care Clinic,500,80% 
Dr. Sunita Umberkar,Gynecologist/Obstetrician,17,Pune,"Kothrud,",Dr. Sunita Umberkar's Women's Clinic,500,99% 
Dr. Asha Gavade,Gynecologist/Obstetrician,17,Pune,"Bavdhan,",Umang Hospital,500,97% 
Dr. Manisha Munemane,Gynecologist/Obstetrician,27,Pune,"Pimple Saudagar,",Vatsalya Women's World,600,94% 
Dr. Mohita Goyal,Gynecologist/Obstetrician,22,Pune,"Baner,",Mohita Poly Clinic,600,95% 
Dr. Arunesh Dutt Upadhyay,General Physician,36,Pune,"Tingare Nagar,",Dr. Upadhyay's Clinic,750,96% 
Dr. Milind Kulkarni,General Physician,17,Pune,"Pimpri-Chinchwad,",Kulkarni Clinic,600,95% 
